"Date","TP_Testing_Party","Type","Yield_in_Kilotons","Latitude_in_degrees","Longitude_in_degrees","Name_of_explosion"
"19621002","US","AIRD","0-1000","","","ANDROSCO"
"19621005","US","SHFT","115","","","MISSISSI"
"19621006","US","AIRD","LOW","","","BUMPING"
"19621007","CP","ATMO","g20","73.000N","055.000E",""
"19621012","US","SHFT","LOW","","","ROANOKE"
"19621012","US","SHFT","LOW","","","WOLVERIN"
"19621014","CP","ATMO","LOW","50.000N","078.000E",""
"19621018","US","AIRD","g1000","","","CHAMA"
"19621018","US","SHFT","LOW","","","TIOGA"
"19621019","US","SHFT","LOW","","","BANDICOO"
"19621020","US","ROCH","LOW","","","CHECKMAT"
"19621022","CP","ATMO","g100","50.000N","078.000E",""
"19621022","CP","ATMO","g1000","73.000N","055.000E",""
"19621026","US","ROCH","l1000","","","BLUEGIL"
"19621027","US","SHFT","LOW","","","SANTEE"
"19621027","US","AIRD","0-1000","","","CALAMITY"
"19621027","CP","ATMO","0-1000","73.000N","055.000E",""
"19621028","CP","ATMO","LOW","50.000N","078.000E",""
"19621029","CP","ATMO","0-1000","73.000N","055.000E",""
"19621030","US","AIRD","g1000","","","HOUSATON"
"19621030","CP","ATMO","0-1000","73.000N","055.000E",""
"19621101","US","ROCH","l1000","","","KINGFISH"
"19621101","CP","ATMO","0-1000","73.000N","055.000E",""
"19621101","CP","ATMO","0-1000","50.000N","078.000E",""
"19621103","CP","ATMO","0-1000","73.000N","055.000E",""
"19621104","US","ROCH","LOW","","","TIGHTROP"
"19621104","CP","ATMO","0-1000","50.000N","078.000E",""
"19621109","US","SHFT","LOW","","","ST.LAWRE"
"19621115","US","SHFT","LOW","","","GUNDI"
"19621117","CP","ATMO","LOW","50.000N","078.000E",""
"19621127","US","SHFT","LOW","","","ANACOSTI"
"19621204","US","SHFT","LOW","","","TAUNTON"
"19621207","GB","SHFT","LOW","","","TENDRAC"
"19621212","US","TUNN","LOW","","","MADISON"
"19621212","US","SHFT","LOW","","","NUMBAT"
"19621214","US","SHFT","LOW","","","MANATEE"
"19621218","CP","ATMO","0-1000","73.000N","055.000E",""
"19621218","CP","ATMO","0-1000","73.000N","055.000E",""
"19621220","CP","ATMO","0-1000","73.000N","055.000E",""
"19621222","CP","ATMO","0-1000","73.000N","055.000E",""
"19621223","CP","ATMO","0-5000","73.000N","055.000E",""
"19621224","CP","ATMO","","74.200N","052.300E",""
"19621224","CP","ATMO","20000","73.600N","057.500E",""
"19621225","CP","ATMO","0-5000","73.400N","056.500E",""
"19630208","US","SHFT","LOW","","","CASSELMA"
"19630208","US","SHFT","LOW","","","ACUSHI"
"19630208","US","SHFT","LOW","","","FERRET"
"19630208","US","SHFT","LOW","","","HATCHIE"
"19630215","US","SHFT","LOW","","","CHIPMUNK"
